Number of buckets, Update linear, Percentile linear, Mixed linear, Update exponential, Percentile exponential, Mixed exponential, Update custom, Percentile custom, Mixed custom, Update all, Percentile all, Mixed all\n
50, 0.008720, 0.016556, 0.011826, 0.181308, 0.022454, 0.180256, 0.008497, 0.016535, 0.011893, 0.031166, 0.004841, 0.031117 
100, 0.008551, 0.018453, 0.011991, 0.233104, 0.024347, 0.226574, 0.008861, 0.018540, 0.012108, 0.171505, 0.004788, 0.047849 
150, 0.008622, 0.146236, 0.012379, 0.290796, 0.024015, 0.278657, 0.008901, 0.144955, 0.012887, 0.067176, 0.004871, 0.189928 
200, 0.009167, 0.019859, 0.137829, 0.344365, 0.024612, 0.452988, 0.009460, 0.019801, 0.013131, 0.214468, 0.005382, 0.214732 
250, 0.010971, 0.146000, 0.013804, 0.524448, 0.025369, 0.499196, 0.010126, 0.019552, 0.013535, 0.234719, 0.004817, 0.222263 
300, 0.009770, 0.146350, 0.013512, 0.575826, 0.150334, 0.546595, 0.010979, 0.021244, 0.014376, 0.245674, 0.004744, 0.238810 
350, 0.010112, 0.020287, 0.013653, 0.752388, 0.025494, 0.720245, 0.011684, 0.020892, 0.015101, 0.263501, 0.004732, 0.254696 
400, 0.010574, 0.022470, 0.014170, 0.930529, 0.024888, 0.771101, 0.012889, 0.020931, 0.016484, 0.410314, 0.004843, 0.270792 
450, 0.011370, 0.020949, 0.140587, 0.859044, 0.151433, 0.815303, 0.014267, 0.021557, 0.142941, 0.299086, 0.004943, 0.287498 
500, 0.011824, 0.021529, 0.015520, 1.041657, 0.151295, 0.863764, 0.140415, 0.021232, 0.018364, 0.316541, 0.130459, 0.306904 
550, 0.012587, 0.147512, 0.016221, 1.087570, 0.150833, 1.037323, 0.016718, 0.022359, 0.019750, 0.460843, 0.004860, 0.445417 
600, 0.013422, 0.022322, 0.016863, 1.391338, 0.024545, 1.089705, 0.144115, 0.022282, 0.021375, 0.479256, 0.004775, 0.462383 
650, 0.014202, 0.021720, 0.018290, 1.444772, 0.025009, 1.255233, 0.020137, 0.022611, 0.147959, 0.498021, 0.004859, 0.352887 
700, 0.015326, 0.021888, 0.018344, 1.513711, 0.150471, 1.301979, 0.022012, 0.022742, 0.149502, 0.515882, 0.004803, 0.516851 
750, 0.016220, 0.147804, 0.019442, 1.547805, 0.026328, 1.474746, 0.024073, 0.023210, 0.152409, 0.539698, 0.005178, 0.517958 
800, 0.017804, 0.022268, 0.020718, 1.735775, 0.026436, 1.526928, 0.152297, 0.022656, 0.028167, 0.557835, 0.004840, 0.655060 
850, 0.018372, 0.022310, 0.147278, 1.788913, 0.025940, 1.706890, 0.028342, 0.022872, 0.030600, 0.698757, 0.004728, 0.548281 
900, 0.019864, 0.022693, 0.022574, 1.971722, 0.026265, 1.752873, 0.155446, 0.023865, 0.032699, 0.717983, 0.005537, 0.566157 
950, 0.021135, 0.023073, 0.023575, 2.020088, 0.152348, 1.796743, 0.033159, 0.022786, 0.160675, 0.739381, 0.004939, 0.580838 
1000, 0.022221, 0.023807, 0.024915, 2.189422, 0.026580, 1.982884, 0.036522, 0.022698, 0.162001, 0.753140, 0.004790, 0.597458 
1050, 0.024761, 0.023354, 0.026261, 2.248975, 0.149894, 2.024229, 0.041826, 0.023586, 0.164560, 0.779040, 0.005416, 0.740304 
1100, 0.025555, 0.023641, 0.153173, 2.295435, 0.026421, 2.181612, 0.041471, 0.024175, 0.167840, 0.792626, 0.004883, 0.755348 
1150, 0.151596, 0.023459, 0.029968, 2.468694, 0.026073, 2.227874, 0.044314, 0.024457, 0.169380, 0.810029, 0.004832, 0.771865 
