Number of buckets, Update linear, Percentile linear, Mixed linear, Update exponential, Percentile exponential, Mixed exponential, Update custom, Percentile custom, Mixed custom, Update all, Percentile all, Mixed all\n
50, 0.016070, 0.069399, 0.021636, 0.023538, 0.036860, 0.026270, 0.015682, 0.070514, 0.021721, 0.023406, 0.005278, 0.029107 
100, 0.018376, 0.115854, 0.029127, 0.026013, 0.036457, 0.029030, 0.018975, 0.132878, 0.029185, 0.028667, 0.005274, 0.035235 
150, 0.021032, 0.161297, 0.037769, 0.026544, 0.036394, 0.029595, 0.021335, 0.162907, 0.037920, 0.028149, 0.005259, 0.039695 
200, 0.021183, 0.209558, 0.043423, 0.028366, 0.037002, 0.031050, 0.021324, 0.207651, 0.042811, 0.029502, 0.005175, 0.043847 
250, 0.021528, 0.254424, 0.048406, 0.029297, 0.035784, 0.031721, 0.021443, 0.253884, 0.047473, 0.030022, 0.007862, 0.052149 
300, 0.025955, 0.325180, 0.059121, 0.029318, 0.037229, 0.031580, 0.024489, 0.300046, 0.056057, 0.030961, 0.005128, 0.051672 
350, 0.024419, 0.348060, 0.060728, 0.031064, 0.036341, 0.034392, 0.024934, 0.347935, 0.060323, 0.031741, 0.005342, 0.056306 
400, 0.024602, 0.394555, 0.065464, 0.030750, 0.036555, 0.033195, 0.024626, 0.395220, 0.064893, 0.032026, 0.005316, 0.059317 
450, 0.024336, 0.441164, 0.069251, 0.030970, 0.036404, 0.033649, 0.025431, 0.437871, 0.069230, 0.032594, 0.005240, 0.063468 
500, 0.024334, 0.490519, 0.074093, 0.032084, 0.036459, 0.034396, 0.024957, 0.484099, 0.074670, 0.032706, 0.005249, 0.065600 
550, 0.027174, 0.532553, 0.081032, 0.031602, 0.036566, 0.033674, 0.027675, 0.526796, 0.080496, 0.034374, 0.005230, 0.069692 
600, 0.027133, 0.576114, 0.085432, 0.031817, 0.036366, 0.033696, 0.028618, 0.572742, 0.086186, 0.034484, 0.005160, 0.072876 
650, 0.027257, 0.624344, 0.090431, 0.032658, 0.037384, 0.033783, 0.028158, 0.623004, 0.090020, 0.034770, 0.005360, 0.076257 
700, 0.027625, 0.676934, 0.094921, 0.034530, 0.037588, 0.036347, 0.028518, 0.660821, 0.094707, 0.035278, 0.005191, 0.080179 
750, 0.027485, 0.715048, 0.099571, 0.034647, 0.036470, 0.036241, 0.028411, 0.707810, 0.100201, 0.035440, 0.005362, 0.083822 
800, 0.027566, 0.763984, 0.104360, 0.034264, 0.036501, 0.035961, 0.028604, 0.759845, 0.104164, 0.035425, 0.005282, 0.087104 
850, 0.027724, 0.806635, 0.108281, 0.033752, 0.036826, 0.035430, 0.028814, 0.798984, 0.108681, 0.036182, 0.005435, 0.091277 
900, 0.027764, 0.852760, 0.112702, 0.035404, 0.036674, 0.036206, 0.028826, 0.838699, 0.113853, 0.035839, 0.005282, 0.096663 
950, 0.027884, 0.897415, 0.117651, 0.035021, 0.036759, 0.036336, 0.029113, 0.887286, 0.117679, 0.036307, 0.005238, 0.098419 
1000, 0.027814, 0.941771, 0.122120, 0.035580, 0.036515, 0.038138, 0.029516, 0.931007, 0.122772, 0.036460, 0.005229, 0.102480 
1050, 0.030723, 0.987963, 0.128834, 0.034739, 0.036349, 0.036047, 0.031936, 0.974834, 0.129998, 0.038392, 0.005252, 0.106912 
1100, 0.030694, 1.035564, 0.144702, 0.035982, 0.038117, 0.038430, 0.034144, 1.050492, 0.136689, 0.037691, 0.005371, 0.108939 
1150, 0.030668, 1.083162, 0.137816, 0.035049, 0.035766, 0.036069, 0.032333, 1.061504, 0.138193, 0.038257, 0.005321, 0.112291 
1200, 0.030944, 1.142966, 0.144626, 0.034789, 0.036579, 0.036059, 0.032261, 1.112398, 0.143361, 0.038518, 0.005359, 0.117001 
1250, 0.031191, 1.174518, 0.148060, 0.033896, 0.036978, 0.035371, 0.032689, 1.160035, 0.148540, 0.038103, 0.005256, 0.120906 
1300, 0.030988, 1.217565, 0.153274, 0.034319, 0.036634, 0.036092, 0.032829, 1.215006, 0.152578, 0.038467, 0.005335, 0.124248 
1350, 0.031175, 1.266950, 0.156062, 0.036489, 0.036474, 0.040481, 0.033070, 1.253420, 0.156585, 0.040219, 0.005205, 0.127774 
1400, 0.031670, 1.328510, 0.163864, 0.036796, 0.036334, 0.038517, 0.033235, 1.316093, 0.164233, 0.039268, 0.005371, 0.134407 
1450, 0.031319, 1.399144, 0.169706, 0.036080, 0.037287, 0.038223, 0.033323, 1.369693, 0.171085, 0.039310, 0.005387, 0.135469 
1500, 0.031407, 1.473096, 0.178337, 0.036385, 0.036400, 0.038668, 0.033628, 1.448266, 0.177015, 0.039727, 0.005326, 0.139355 
1550, 0.031598, 1.530954, 0.183599, 0.037450, 0.036736, 0.038722, 0.033687, 1.546962, 0.183264, 0.039594, 0.005529, 0.144700 
1600, 0.031837, 1.578695, 0.188591, 0.036432, 0.036364, 0.039820, 0.034092, 1.542968, 0.187681, 0.039736, 0.005376, 0.145223 
1650, 0.031860, 1.621087, 0.193264, 0.036572, 0.036353, 0.038479, 0.034367, 1.585248, 0.192159, 0.039745, 0.005303, 0.148421 
1700, 0.031853, 1.675153, 0.196516, 0.036038, 0.036498, 0.037463, 0.034198, 1.633028, 0.198309, 0.039956, 0.005312, 0.152788 
1750, 0.032173, 2.584746, 0.327875, 0.162846, 0.036886, 0.038859, 0.159510, 3.312184, 0.450715, 0.040475, 0.005632, 0.281138 
1800, 0.032195, 3.525503, 0.458361, 0.037351, 0.036646, 0.164795, 0.035009, 3.483993, 0.332179, 0.166770, 0.005469, 0.284737 
1850, 0.157371, 3.728218, 0.337682, 0.162553, 0.036750, 0.038990, 0.035323, 3.648443, 0.336892, 0.165554, 0.005378, 0.286871 
1900, 0.157760, 3.744339, 0.342772, 0.162718, 0.036474, 0.038949, 0.035262, 3.700332, 0.466093, 0.041054, 0.005462, 0.290028 
1950, 0.032993, 3.789157, 0.473016, 0.037579, 0.162062, 0.039162, 0.035364, 3.740251, 0.472375, 0.041068, 0.005377, 0.420339 
2000, 0.032463, 3.994416, 0.477822, 0.037739, 0.162165, 0.040078, 0.035808, 3.904756, 0.351586, 0.166034, 0.005492, 0.297715 
2050, 0.035259, 4.003529, 0.486922, 0.037506, 0.036216, 0.164356, 0.038794, 3.961122, 0.356526, 0.168030, 0.005593, 0.301884 
2100, 0.035547, 4.051989, 0.490065, 0.162220, 0.037587, 0.038798, 0.038359, 3.998667, 0.487164, 0.167920, 0.005482, 0.304641 
2150, 0.035895, 4.256516, 0.496990, 0.036828, 0.036661, 0.163759, 0.038595, 4.047836, 0.492255, 0.168595, 0.005463, 0.307302 
2200, 0.035475, 4.287965, 0.499770, 0.037545, 0.162876, 0.038819, 0.038788, 4.450069, 0.496374, 0.043285, 0.005242, 0.436808 
2250, 0.035356, 4.441722, 0.505148, 0.036858, 0.161248, 0.038657, 0.039114, 4.257516, 0.500989, 0.168632, 0.005344, 0.313776 
2300, 0.036303, 4.554132, 0.514230, 0.163068, 0.039280, 0.038965, 0.165252, 4.326798, 0.510363, 0.169421, 0.005506, 0.318250 
2350, 0.035964, 4.556708, 0.515969, 0.162266, 0.037263, 0.039468, 0.164601, 4.343844, 0.635735, 0.043125, 0.005438, 0.320210 
2400, 0.035867, 4.710843, 0.521506, 0.037268, 0.162083, 0.038980, 0.039837, 4.512434, 0.671076, 0.044681, 0.006762, 0.450434 
2450, 0.035885, 4.754764, 0.647416, 0.036694, 0.036617, 0.037696, 0.167583, 4.555999, 0.519795, 0.169298, 0.005536, 0.329934 
2500, 0.037379, 4.971624, 0.531643, 0.036354, 0.162260, 0.038091, 0.039941, 4.722989, 0.522664, 0.168465, 0.005423, 0.329049 
2550, 0.036249, 4.976674, 0.534048, 0.036543, 0.162131, 0.041310, 0.041477, 4.923591, 0.527150, 0.043573, 0.005405, 0.460719 
2600, 0.160439, 5.019743, 0.544398, 0.037666, 0.161989, 0.039224, 0.040669, 4.936041, 0.532457, 0.044148, 0.005447, 0.461473 
2650, 0.161651, 5.061555, 0.674053, 0.037716, 0.036905, 0.164633, 0.040662, 4.980188, 0.537584, 0.044383, 0.005461, 0.492555 
2700, 0.038336, 5.244537, 0.547880, 0.165500, 0.037067, 0.041084, 0.166825, 5.023471, 0.541803, 0.170358, 0.005403, 0.343245 
2750, 0.036894, 5.283802, 0.676867, 0.040148, 0.037610, 0.166442, 0.041035, 5.192859, 0.545634, 0.045358, 0.005528, 0.472274 
2800, 0.162390, 5.498879, 0.557467, 0.040167, 0.162319, 0.041215, 0.041429, 5.232822, 0.676451, 0.045114, 0.005284, 0.474645 
2850, 0.162238, 5.500580, 0.560763, 0.039182, 0.162522, 0.041279, 0.041393, 5.405519, 0.555548, 0.045618, 0.005358, 0.477510 
2900, 0.036837, 5.553013, 0.690649, 0.039205, 0.036647, 0.166661, 0.041483, 5.476461, 0.559038, 0.170653, 0.005435, 0.480630 
2950, 0.036933, 5.718918, 0.696379, 0.039778, 0.036432, 0.165801, 0.042260, 5.495901, 0.563515, 0.171575, 0.005620, 0.483429 
3000, 0.036894, 5.760318, 0.699954, 0.040225, 0.161805, 0.041395, 0.044037, 5.691534, 0.568060, 0.171793, 0.005479, 0.487064 
3050, 0.037354, 5.952387, 0.704318, 0.040897, 0.036583, 0.041086, 0.167719, 5.575517, 0.698803, 0.045836, 0.005430, 0.492582 
3100, 0.037257, 5.978583, 0.584409, 0.165540, 0.036495, 0.041190, 0.167815, 5.735378, 0.577201, 0.171853, 0.005458, 0.508654 
3150, 0.039147, 6.159785, 0.589195, 0.165468, 0.036101, 0.040992, 0.167707, 6.017240, 0.708326, 0.046914, 0.005313, 0.495472 
3200, 0.162599, 6.070866, 0.719202, 0.039297, 0.161479, 0.041684, 0.042848, 5.949023, 0.586358, 0.172331, 0.005404, 0.509484 
3250, 0.162003, 6.284923, 0.722570, 0.040085, 0.036828, 0.167033, 0.043094, 6.044121, 0.714811, 0.046105, 0.005595, 0.501918 
3300, 0.037608, 6.285201, 0.727545, 0.164180, 0.036805, 0.041258, 0.043513, 6.154404, 0.594209, 0.171688, 0.005487, 0.506598 
3350, 0.162988, 6.492980, 0.608008, 0.163293, 0.036842, 0.040755, 0.168584, 6.067478, 0.956446, 0.046728, 0.005456, 0.508476 
3400, 0.038629, 6.498456, 0.738628, 0.038919, 0.161402, 0.041235, 0.043707, 6.233739, 0.729971, 0.046281, 0.005596, 0.510316 
3450, 0.038008, 6.713333, 0.742234, 0.038931, 0.036553, 0.165837, 0.044126, 6.296591, 0.741600, 0.172705, 0.005443, 0.526148 
3500, 0.163737, 6.757195, 0.745709, 0.039946, 0.036609, 0.166483, 0.044176, 6.318092, 0.894458, 0.049317, 0.005468, 0.518181 
3550, 0.163568, 6.769088, 0.751645, 0.039886, 0.161850, 0.041409, 0.044438, 6.724180, 0.741798, 0.047107, 0.005542, 0.646190 
3600, 0.038442, 6.973140, 0.762608, 0.040877, 0.161626, 0.042012, 0.044857, 6.684271, 0.746108, 0.047623, 0.005511, 0.524279 
3650, 0.039187, 6.983171, 0.760851, 0.040998, 0.162001, 0.041856, 0.044677, 6.688875, 0.750538, 0.048145, 0.005413, 0.652272 
3700, 0.038882, 7.167413, 0.767430, 0.040410, 0.036409, 0.167411, 0.045229, 6.770638, 0.754109, 0.173719, 0.005547, 0.529998 
3750, 0.163331, 7.305289, 0.767791, 0.040461, 0.162114, 0.041686, 0.044999, 6.893334, 0.757366, 0.048720, 0.005485, 0.531972 
3800, 0.039111, 7.306159, 0.900833, 0.040672, 0.036100, 0.167106, 0.045570, 6.809353, 0.887745, 0.047886, 0.005598, 0.535120 
3850, 0.039008, 7.298943, 0.904260, 0.041164, 0.036780, 0.042079, 0.171262, 6.980153, 0.767010, 0.048530, 0.005882, 0.664260 
3900, 0.038879, 7.493728, 0.782860, 0.165797, 0.037009, 0.041967, 0.171304, 7.024546, 0.772275, 0.173116, 0.005685, 0.541015 
3950, 0.164350, 7.497101, 0.786799, 0.041095, 0.036955, 0.167255, 0.046263, 7.218208, 0.778260, 0.173895, 0.005460, 0.545338 
4000, 0.165301, 7.549917, 0.792624, 0.166971, 0.036366, 0.042363, 0.172065, 7.739660, 0.779103, 0.048477, 0.005427, 0.726032 
4050, 0.164440, 7.723528, 0.796211, 0.041109, 0.161409, 0.042705, 0.047054, 7.421873, 0.783367, 0.048487, 0.005574, 0.674372 
4100, 0.043109, 7.901610, 0.810650, 0.039736, 0.162083, 0.041485, 0.051701, 7.438464, 0.791626, 0.176905, 0.005639, 0.557728 
4150, 0.043748, 7.971579, 0.809074, 0.040200, 0.161803, 0.041625, 0.051118, 7.469395, 0.920449, 0.052827, 0.005608, 0.682651 
4200, 0.043266, 7.970621, 0.813745, 0.165819, 0.036342, 0.041379, 0.177265, 7.541829, 0.928064, 0.051273, 0.005352, 0.687336 
4250, 0.043600, 8.017262, 0.943687, 0.039814, 0.161640, 0.041236, 0.051650, 7.907155, 0.804611, 0.052184, 0.005557, 0.688344 
4300, 0.168931, 8.100257, 0.955066, 0.040046, 0.161233, 0.041525, 0.051922, 7.714577, 0.933501, 0.052743, 0.005480, 0.693017 
4350, 0.043392, 8.240923, 0.953424, 0.039818, 0.161775, 0.041410, 0.052391, 7.912067, 0.816551, 0.178466, 0.005649, 0.589228 
4400, 0.047642, 8.428816, 0.832240, 0.040079, 0.161998, 0.041161, 0.177408, 7.799607, 0.815263, 0.177375, 0.005487, 0.698597 
4450, 0.043986, 8.471308, 0.975114, 0.041191, 0.036721, 0.167320, 0.053638, 8.024073, 0.945268, 0.052065, 0.005481, 0.699854 
4500, 0.169304, 8.494485, 0.839787, 0.165676, 0.036394, 0.041672, 0.177492, 7.995399, 0.824794, 0.177382, 0.005498, 0.578938 
