Number of buckets, Update linear, Percentile linear, Mixed linear, Update exponential, Percentile exponential, Mixed exponential, Update custom, Percentile custom, Mixed custom, Update all, Percentile all, Mixed all\n
50, 0.015281, 0.021778, 0.019164, 0.020211, 0.029638, 0.024565, 0.014649, 0.021800, 0.018530, 0.021289, 0.005030, 0.024899 
100, 0.016605, 0.033822, 0.020366, 0.021513, 0.030082, 0.025765, 0.016492, 0.024051, 0.021404, 0.024088, 0.005151, 0.026287 
150, 0.018265, 0.026148, 0.022055, 0.022320, 0.030061, 0.026286, 0.018550, 0.026917, 0.022365, 0.024634, 0.005036, 0.028082 
200, 0.018817, 0.026226, 0.022601, 0.022884, 0.031190, 0.027599, 0.018706, 0.026689, 0.022235, 0.025094, 0.005042, 0.028307 
250, 0.018568, 0.026799, 0.023602, 0.027465, 0.032783, 0.028182, 0.018536, 0.026377, 0.022394, 0.026701, 0.005179, 0.030030 
300, 0.020616, 0.028836, 0.023915, 0.023733, 0.030874, 0.027816, 0.020469, 0.029651, 0.024415, 0.026547, 0.005010, 0.030071 
350, 0.020251, 0.029054, 0.024570, 0.023926, 0.031865, 0.028172, 0.020641, 0.029510, 0.024257, 0.026650, 0.005106, 0.030218 
400, 0.020480, 0.029143, 0.027627, 0.024835, 0.031920, 0.028443, 0.020603, 0.029069, 0.024776, 0.027570, 0.005069, 0.030378 
450, 0.020539, 0.029265, 0.023983, 0.025320, 0.032769, 0.029122, 0.021045, 0.029298, 0.024407, 0.027179, 0.005098, 0.030838 
500, 0.020786, 0.029322, 0.024484, 0.025733, 0.033279, 0.029645, 0.021049, 0.029048, 0.024714, 0.027640, 0.005060, 0.031344 
550, 0.024722, 0.032284, 0.026084, 0.025336, 0.032150, 0.029232, 0.023531, 0.031845, 0.026589, 0.028770, 0.005136, 0.032487 
600, 0.022404, 0.030985, 0.025895, 0.025069, 0.032544, 0.028917, 0.022916, 0.031385, 0.027108, 0.029104, 0.005117, 0.032779 
650, 0.022598, 0.031472, 0.026152, 0.025610, 0.033437, 0.029865, 0.023180, 0.031510, 0.026914, 0.028881, 0.005117, 0.034519 
700, 0.022621, 0.031051, 0.025989, 0.026022, 0.033735, 0.029322, 0.023299, 0.031570, 0.027091, 0.028918, 0.005103, 0.032805 
750, 0.022951, 0.031834, 0.026384, 0.026682, 0.035240, 0.030285, 0.023355, 0.031855, 0.027347, 0.029410, 0.005005, 0.032887 
800, 0.022728, 0.031266, 0.026504, 0.026368, 0.033408, 0.030282, 0.023862, 0.035510, 0.027332, 0.029192, 0.005030, 0.032500 
850, 0.023177, 0.031423, 0.026578, 0.026053, 0.032178, 0.029963, 0.023719, 0.031621, 0.027693, 0.029635, 0.005573, 0.034192 
900, 0.029091, 0.031758, 0.026760, 0.026953, 0.035008, 0.031024, 0.023777, 0.031845, 0.027655, 0.029863, 0.005062, 0.033571 
950, 0.022907, 0.032030, 0.030185, 0.026619, 0.034843, 0.030610, 0.024187, 0.032614, 0.028392, 0.029862, 0.005010, 0.033659 
1000, 0.023025, 0.031288, 0.026691, 0.026847, 0.035800, 0.031425, 0.024310, 0.031743, 0.027805, 0.030269, 0.005038, 0.033954 
1050, 0.025230, 0.033329, 0.028923, 0.026277, 0.034190, 0.030270, 0.026567, 0.034287, 0.030188, 0.031437, 0.005489, 0.037038 
1100, 0.025038, 0.033220, 0.029360, 0.028525, 0.034376, 0.030901, 0.026508, 0.034320, 0.029918, 0.031601, 0.005111, 0.035052 
1150, 0.025349, 0.033522, 0.028730, 0.027157, 0.034674, 0.031392, 0.026658, 0.034810, 0.030213, 0.032057, 0.005284, 0.035844 
1200, 0.025151, 0.033507, 0.028777, 0.026592, 0.035635, 0.030295, 0.026585, 0.034253, 0.030200, 0.031735, 0.005185, 0.035573 
1250, 0.025261, 0.033617, 0.028859, 0.026511, 0.033077, 0.030311, 0.028532, 0.035626, 0.030500, 0.031592, 0.005086, 0.035082 
1300, 0.025974, 0.034493, 0.029670, 0.027257, 0.033955, 0.030794, 0.026913, 0.034280, 0.030869, 0.031377, 0.005030, 0.035413 
1350, 0.025415, 0.033742, 0.029298, 0.026886, 0.034132, 0.031112, 0.026934, 0.034732, 0.030782, 0.031662, 0.005059, 0.035427 
1400, 0.026054, 0.034870, 0.029268, 0.026998, 0.033116, 0.030947, 0.027443, 0.039757, 0.031193, 0.032044, 0.005055, 0.035674 
1450, 0.025515, 0.033724, 0.029072, 0.028012, 0.036479, 0.039828, 0.034401, 0.034683, 0.030974, 0.032173, 0.005046, 0.036919 
1500, 0.025688, 0.033596, 0.029299, 0.027785, 0.036299, 0.031455, 0.028202, 0.035117, 0.031442, 0.032269, 0.005051, 0.036772 
1550, 0.026286, 0.034542, 0.029749, 0.027418, 0.035347, 0.031389, 0.027705, 0.034590, 0.031383, 0.031837, 0.005038, 0.038743 
1600, 0.025840, 0.035198, 0.029416, 0.027700, 0.035555, 0.031417, 0.027993, 0.034635, 0.031632, 0.032088, 0.005039, 0.035806 
1650, 0.026097, 0.034401, 0.029561, 0.027375, 0.034823, 0.031618, 0.028346, 0.035519, 0.031947, 0.032129, 0.005026, 0.036657 
1700, 0.026074, 0.033950, 0.029775, 0.027133, 0.037215, 0.031383, 0.028416, 0.035289, 0.031970, 0.032920, 0.005112, 0.036750 
1750, 0.026257, 0.034997, 0.030163, 0.027010, 0.034485, 0.031513, 0.029290, 0.035649, 0.032145, 0.032679, 0.005205, 0.036608 
1800, 0.026314, 0.034349, 0.030229, 0.028129, 0.036841, 0.031865, 0.028484, 0.035097, 0.032181, 0.032956, 0.005091, 0.038885 
1850, 0.026128, 0.033975, 0.029925, 0.028499, 0.036630, 0.031921, 0.028703, 0.035298, 0.032434, 0.033123, 0.005060, 0.036875 
1900, 0.026520, 0.033894, 0.029774, 0.028117, 0.036308, 0.031923, 0.029166, 0.035741, 0.032604, 0.033238, 0.005251, 0.037887 
1950, 0.026461, 0.033843, 0.030105, 0.030413, 0.037027, 0.032213, 0.029130, 0.035333, 0.033523, 0.033981, 0.005152, 0.036894 
2000, 0.026444, 0.034084, 0.030120, 0.028039, 0.036763, 0.032173, 0.029797, 0.035251, 0.033022, 0.033772, 0.005175, 0.037472 
2050, 0.028614, 0.036070, 0.032896, 0.027337, 0.034024, 0.031440, 0.031847, 0.037606, 0.036788, 0.035740, 0.005071, 0.039097 
2100, 0.028260, 0.036776, 0.032875, 0.027052, 0.034171, 0.031124, 0.031197, 0.037976, 0.035442, 0.035300, 0.005311, 0.043469 
2150, 0.031749, 0.039490, 0.035698, 0.029320, 0.036705, 0.036092, 0.033999, 0.041225, 0.038758, 0.037589, 0.005055, 0.042786 
2200, 0.028960, 0.036713, 0.032586, 0.028071, 0.036231, 0.032952, 0.031942, 0.037857, 0.035543, 0.035231, 0.005047, 0.039349 
2250, 0.029773, 0.036426, 0.032444, 0.027777, 0.035482, 0.032113, 0.031935, 0.038533, 0.035806, 0.035153, 0.005040, 0.039192 
2300, 0.029252, 0.036349, 0.032330, 0.030506, 0.035596, 0.032417, 0.031926, 0.039286, 0.036560, 0.035595, 0.005101, 0.039122 
2350, 0.028682, 0.036224, 0.032397, 0.027795, 0.035257, 0.032247, 0.032274, 0.038106, 0.036661, 0.035498, 0.005063, 0.039793 
2400, 0.029288, 0.037324, 0.032648, 0.027864, 0.034613, 0.032026, 0.032045, 0.041009, 0.036032, 0.035134, 0.005129, 0.038758 
2450, 0.029457, 0.036589, 0.032806, 0.027777, 0.034250, 0.031623, 0.032280, 0.038760, 0.036958, 0.035910, 0.005167, 0.039176 
2500, 0.029323, 0.036900, 0.033503, 0.027977, 0.034658, 0.031633, 0.033054, 0.038297, 0.036647, 0.035391, 0.005057, 0.039076 
2550, 0.029165, 0.036871, 0.033012, 0.027817, 0.035404, 0.031779, 0.032787, 0.038592, 0.036602, 0.035393, 0.005054, 0.039457 
2600, 0.029341, 0.036826, 0.032860, 0.028286, 0.034985, 0.032011, 0.033338, 0.039042, 0.037439, 0.036266, 0.005146, 0.039536 
2650, 0.029409, 0.036712, 0.033339, 0.030483, 0.034573, 0.032098, 0.033058, 0.038764, 0.038042, 0.035715, 0.005064, 0.039707 
2700, 0.029441, 0.036578, 0.033178, 0.028380, 0.034940, 0.031950, 0.033306, 0.039054, 0.037536, 0.042387, 0.006888, 0.057690 
2750, 0.030205, 0.036820, 0.033253, 0.028341, 0.034495, 0.032205, 0.036417, 0.039402, 0.037460, 0.036023, 0.005044, 0.040944 
2800, 0.029513, 0.036801, 0.033209, 0.028231, 0.034345, 0.031851, 0.034244, 0.039681, 0.037858, 0.035612, 0.005135, 0.039385 
2850, 0.029846, 0.037060, 0.035176, 0.030804, 0.037248, 0.032829, 0.033971, 0.039358, 0.037805, 0.038826, 0.005088, 0.040311 
2900, 0.029996, 0.037494, 0.034220, 0.028986, 0.037045, 0.032965, 0.034198, 0.039252, 0.038123, 0.036861, 0.005121, 0.040581 
2950, 0.029803, 0.036759, 0.033945, 0.029775, 0.037404, 0.032632, 0.034487, 0.039385, 0.038337, 0.036681, 0.005071, 0.040595 
3000, 0.033448, 0.036995, 0.034082, 0.028865, 0.037155, 0.033326, 0.035031, 0.039214, 0.038432, 0.037009, 0.005052, 0.040707 
3050, 0.030290, 0.036850, 0.034072, 0.028818, 0.037537, 0.032955, 0.034757, 0.040121, 0.038987, 0.036969, 0.005093, 0.041179 
3100, 0.030145, 0.036690, 0.033787, 0.030572, 0.036056, 0.032832, 0.034876, 0.039682, 0.039446, 0.037064, 0.005028, 0.040750 
3150, 0.030213, 0.036497, 0.033946, 0.028688, 0.036504, 0.032927, 0.035162, 0.039205, 0.039136, 0.037143, 0.005222, 0.040979 
